,SI,SD,TSS
14,7.165886795869814,2.743395959298198,1.0
44,7.815307101225541,3.1417146805438443,1.0
74,8.571947508992611,2.846496566593821,1.0
104,9.15288175835404,2.0471200495262334,1.0
134,9.356580650477435,1.5357984735328623,1.0
164,8.007572100006236,2.391183750239523,1.0
194,6.6345148673770815,2.7374820313128856,1.0
224,7.170791286745047,2.7276040201401694,1.0
254,9.521532852050786,1.3484804075919579,1.0
284,9.96893136381805,1.075521791034088,1.0
314,7.61723761766136,2.5071238163937912,1.0
344,8.368980294227773,2.6645219184950144,1.0
374,9.010412836161864,2.5117558262926045,1.0
404,9.8374479487555,1.6887229369583185,1.0
434,8.130078538691937,2.1346388556084466,1.0
464,9.504009245698263,2.0288191032453655,1.0
494,9.806720965433044,2.5761087987877294,1.0
524,8.120947244313347,2.9010799515399777,1.0
554,8.954472267548825,2.1140444822779694,1.0
584,7.895679813739694,2.584724965158441,1.0
614,7.510747304240261,2.40947476804233,1.0
644,8.3403941619803,2.544957920768818,1.0
674,10.794453737819607,1.4745064551851248,1.0
704,8.202797408241112,2.415582843746604,1.0
734,6.841843053341398,2.8681726473375173,1.0
764,8.875254476333906,1.7857211777650694,1.0
794,7.168389954076196,3.0463042156528095,1.0
824,8.064937093399704,2.6743391139418233,1.0
854,8.125393422233916,2.225869077479227,1.0
884,7.144346680790235,2.9172063317011787,1.0
914,9.436198783049692,1.9707155840321324,1.0
944,9.618990549055699,1.6247893808380978,1.0
974,7.177681609044049,2.7655729238069564,1.0
1004,9.476367181067626,1.9084242148165507,1.0
1034,9.369079392097813,1.7015087964506868,1.0
1064,9.138909932193743,1.931388921248496,1.0
1094,8.165311939956712,2.138830694724356,1.0
1124,9.600910931250926,2.175577789788823,1.0
1154,8.587762284308623,2.986067006033991,1.0
1184,8.318757523436279,2.071371128569263,1.0
1214,8.99232373506648,1.746035802129433,1.0
1244,8.871740517518804,1.9004776769317233,1.0
1274,8.302492828627491,2.327899042140737,1.0
1304,10.28457387532208,1.617903630621038,1.0
1334,8.79798094942257,1.8655141275835516,1.0
1364,8.24357106568163,2.0544218851165885,1.0
1394,10.844003453553913,1.2224608175026275,1.0
1424,9.201435989827798,2.1851404473205442,1.0
1454,8.217851155297527,2.642350688757113,1.0
1484,8.801888350399281,1.9595539096614276,1.0
1514,8.381583870324551,1.988131633475992,1.0
1544,9.107951958169284,2.3551190109533864,1.0
1574,8.048315502083675,2.9020365011556426,1.0
1604,8.955400357716337,2.662140764751268,1.0
1634,9.81588693976653,1.8619275434735616,1.0
1664,8.971431735817022,2.0160913535284126,1.0
1694,8.378758163834751,2.0947916619665796,1.0
1724,7.552043312878954,3.5803994692900507,1.0
1754,7.78776694127173,2.686439860809119,1.0
1784,8.679433670728951,2.1082475545528707,1.0
1814,10.665835933474504,1.7524707341948038,1.0
1844,8.94980102239009,1.9704948061409815,1.0
1874,8.344115332117429,1.7028474803313587,1.0
1904,8.846893138320006,2.426679962318924,1.0
1934,6.775060464318766,2.8530655044963495,1.0
1964,8.850199178144265,1.9431778548493446,1.0
1994,7.469386798009595,3.100033263330538,1.0
2024,7.9885084686079795,2.4444015153273133,1.0
2054,8.335953601620105,2.3737241217567138,1.0
2084,9.17662954267768,1.8014334774155594,1.0
2114,7.976389220240682,2.6782444893401394,1.0
2144,9.940676038220907,1.5303341870355223,1.0
2174,8.86712670783574,2.3961291533144173,1.0
2204,8.49010902559765,2.011113603045868,1.0
2234,9.25750967758251,2.0588650521861447,1.0
2264,9.84815011171678,1.6532187088420305,1.0
2294,8.501243947800758,2.7940937350432127,1.0
2324,7.549207249847949,2.9305835869757897,1.0
2354,7.261098401708174,3.1098355648907914,1.0
2384,7.866218242784786,2.857521449469587,1.0
2414,7.216967221511324,2.4391916149215658,1.0
2444,9.282040733206285,1.9263387948449382,1.0
2474,8.44063474078958,2.4500250203505396,1.0
2504,7.4790885149014725,2.765277702229486,1.0
2534,8.560118027110379,1.8080897808937508,1.0
2564,8.083711108919717,2.522436565946207,1.0
2594,8.05799526131499,2.946861624382061,1.0
2624,8.044514959255762,1.7486702683565343,1.0
2654,7.485274454025793,2.7307171405597908,1.0
