,SI,SD,TSS
12,9.693442094027313,1.8321837040329474,1.0
42,7.9585102924827,2.4920936329668084,1.0
72,8.173259476402794,3.1513507654737074,1.0
102,9.33459698168585,1.9167498933562408,1.0
132,9.84210095815329,1.6630254330918457,1.0
162,8.543100035760041,2.057188696056828,1.0
192,7.311054459731675,2.110455570700814,1.0
222,7.974619003139285,2.5175168725074233,1.0
252,9.184104777491358,2.7386156357751883,1.0
282,8.984407382405015,2.4831034721977527,1.0
312,10.615555168527031,1.2428068953036453,1.0
342,9.806541013317725,1.9492878546500496,1.0
372,9.135612626961962,2.1519059418935926,1.0
402,9.701678060569872,2.744647064825135,1.0
432,7.191974680425208,2.4138352992550853,1.0
462,8.734246824587224,2.246943794244414,1.0
492,9.176985472077302,2.5054428997416607,1.0
522,9.509815976430154,1.413619609989153,1.0
552,9.907631787171557,1.1502792590871005,1.0
582,8.409408338857084,2.041740576854154,1.0
612,8.69532405463311,2.445957631274692,1.0
642,8.273948141972532,2.1586891544988553,1.0
672,7.0854459209269685,3.119317303407777,1.0
702,9.299318076432622,2.1863022267719163,1.0
732,8.092794254117456,1.9478485861151493,1.0
762,9.868037568164109,1.7472543293680003,1.0
792,9.965135160810213,2.880959489072485,1.0
822,8.502615179040786,2.133332712509438,1.0
852,10.116336795412558,2.4818315054030506,1.0
882,8.554977262727233,1.8705812990425201,1.0
912,8.765841471673482,1.5056105399058701,1.0
942,7.621991340856397,2.2380776046337454,1.0
972,9.523037247153056,2.0338637487368603,1.0
1002,9.098717986972012,1.7312078886896165,1.0
1032,9.537301846863004,2.3086884586112957,1.0
1062,8.92175202919772,2.197155218120936,1.0
1092,8.42938671398886,2.460499302107677,1.0
1122,8.606111873367688,2.020498511165119,1.0
1152,7.16037817374433,2.6336314865658546,1.0
1182,8.375084566614422,2.099753899762521,1.0
1212,8.460693073020298,2.6879619152469525,1.0
1242,8.25422674396334,2.072711012626631,1.0
1272,7.434039449992988,2.669612811479956,1.0
1302,8.50332967040973,2.5344368886091813,1.0
1332,10.241268062909139,1.4847396752175974,1.0
1362,8.86579077866896,2.300274247335979,1.0
1392,8.84725597926383,2.499665097903109,1.0
1422,9.67296642901376,2.2518493972411298,1.0
1452,9.665625066288392,2.0600908793378827,1.0
1482,9.556785087403757,2.783880587516907,1.0
1512,9.95469286163815,1.5861075429456983,1.0
1542,9.112015699875762,2.5566523045455813,1.0
1572,7.98252436916017,1.785114327059494,1.0
1602,10.039363289123635,1.0713827111735115,1.0
1632,8.334980362679788,2.688454816361389,1.0
1662,9.018950954089474,2.691138565636228,1.0
1692,10.056008519117814,1.6108331626000607,1.0
1722,9.702326181680425,1.9525689608884202,1.0
1752,9.238512116641267,2.5441238176632077,1.0
1782,8.145308512089168,2.595137496871429,1.0
1812,9.696379157836937,2.2983817562038444,1.0
1842,8.629255108883669,2.3310416065611888,1.0
1872,8.540764697956156,2.308095573917245,1.0
1902,8.280778030510483,2.0254316272257524,1.0
1932,6.701285672496076,2.9000518248110674,1.0
1962,8.992514717168524,1.7197740627701645,1.0
1992,9.704623612944294,2.0029001396222896,1.0
