,SI,SD,TSS
11,9.20489795687598,2.113339026194713,1.0
41,6.543816027458612,2.6270646435919955,1.0
71,7.529699220038494,2.9492870285021096,1.0
101,7.274129202648118,2.474088818631557,1.0
131,7.600454634341322,2.4532486276601513,1.0
161,6.128484449616266,2.919243140758712,1.0
191,8.524081072778408,1.8335465346845226,1.0
221,8.157422681890615,2.1955864563860175,1.0
251,8.908384602161934,3.235523777867888,1.0
281,8.359322452345786,2.0992975684361697,1.0
311,7.417878879798423,2.4682132780711488,1.0
341,8.172274487868787,2.4054722248901896,1.0
371,7.988030376831246,2.4683509032907747,1.0
401,10.278729378258289,1.8190840878108505,1.0
431,7.489652068489355,3.068880390448957,1.0
461,7.868937878037406,2.672059749083184,1.0
491,8.908676065367619,2.1712139352882116,1.0
521,7.772831746342347,3.033303061087044,1.0
551,6.679535094979144,2.6793469867858275,1.0
581,9.06209646503752,2.0056287942177318,1.0
611,7.207494711132853,3.029329386631751,1.0
641,8.550672045155137,2.4987930797761027,1.0
671,8.792549677703507,2.710874197816858,1.0
701,7.245118983325754,2.7177779624933747,1.0
731,7.154555060734912,2.5433549959426784,1.0
761,8.186294533966581,2.670362863297801,1.0
791,8.511768574353944,2.58032914102304,1.0
821,8.620173372929486,2.272839388724583,1.0
851,8.186230450830097,3.0362890049552735,1.0
881,9.258774140053253,2.1850898321034364,1.0
911,8.319994121131556,1.874926875353179,1.0
941,8.942876342808468,1.4317829525225727,1.0
971,8.616786939204367,2.2980455141118252,1.0
1001,8.077790266285366,2.360516409886907,1.0
1031,8.24472084032077,2.501277159189317,1.0
1061,7.600261968696748,2.770267536743782,1.0
1091,7.644108110917383,2.6700628851899526,1.0
1121,7.782798547074506,2.78435578971987,1.0
1151,7.50843143495359,3.3949273565078055,1.0
1181,7.835883883348202,2.3115581341494202,1.0
1211,8.395068751922732,2.2058265620016573,1.0
1241,8.027231142027253,2.6552640149969817,1.0
1271,7.966054320522358,2.201117984829375,1.0
1301,8.256082316037352,2.3382009820691447,1.0
1331,8.516865271069618,2.455955886249096,1.0
1361,9.209201737958848,2.4332483669298055,1.0
1391,7.663200583574076,2.504582553717417,1.0
1421,8.177834212086909,2.7709680995604202,1.0
1451,8.727253658683486,2.823353788183709,1.0
1481,6.651640755960579,2.83765454624484,1.0
1511,9.136312206680769,2.0575421263344023,1.0
1541,8.299878512659095,2.7499163609592325,1.0
1571,7.181684732326112,2.178295635487472,1.0
1601,7.900217108928815,1.9978244504610758,1.0
1631,7.8480562916201855,2.141921298517877,1.0
1661,7.888978091113945,2.8602050567562594,1.0
1691,7.100751095153348,2.4733187595326633,1.0
1721,8.604949733038701,1.9369098014491426,1.0
1751,8.982335083922097,2.1024493225684604,1.0
1781,8.496556562099839,2.351629394093575,1.0
1811,8.577253603199138,2.140990038486343,1.0
1841,8.937180692738819,1.9844143691822238,1.0
1871,7.786256893628547,2.978752496585695,1.0
1901,8.898101713015155,2.0577764223820796,1.0
1931,8.913819821181658,2.375173898269281,1.0
1961,7.960971664663231,2.7640447866642694,1.0
1991,8.188543911367203,1.8846884763435208,1.0
2021,7.864679552158592,2.1900552347506723,1.0
2051,7.704626585993066,2.299227211129718,1.0
2081,8.356783316221298,2.4394971946837107,1.0
2111,8.302446646986919,2.3137297082643626,1.0
2141,8.249589193133211,2.459061136233326,1.0
2171,8.519402133553054,1.6880360159382592,1.0
2201,7.858246023919694,3.127580984929882,1.0
2231,8.820616660907568,3.099251417785649,1.0
2261,8.715645833637252,2.4072188215678065,1.0
2291,8.665274450942185,2.66484177138002,1.0
2321,7.992651608114321,2.8439463837195236,1.0
2351,7.085528886325212,2.9758047751896872,1.0
2381,10.260147119784481,1.2876412564543285,1.0
2411,9.595493817794859,1.1260004752347639,1.0
2441,9.54384350694642,2.1765389257947136,1.0
2471,7.247412735274934,2.31516976062522,1.0
2501,7.839078922995838,2.638346230077554,1.0
2531,8.478745051766326,2.15954593081702,1.0
2561,9.139820206349663,1.9488248695907366,1.0
2591,9.450941206423884,2.5877863468224795,1.0
2621,9.437824447948694,2.3664433521547896,1.0
2651,7.295196569551809,2.220015390597843,1.0
2681,7.955190557414668,2.3016750177667755,1.0
2711,8.454513150802804,2.031508216886114,1.0
2741,8.532624259387076,2.588230597457145,1.0
2771,8.186569144004268,2.473017074925626,1.0
2801,7.581022096007212,2.5322806305844234,1.0
2831,8.100169422252415,2.176480646647181,1.0
2861,8.444088589076607,2.5157188476090497,1.0
2891,8.431406979926171,2.3910554026827198,1.0
2921,9.268970914462912,1.7643992812236773,1.0
2951,8.740229579889627,3.2847937909919973,1.0
2981,7.380016117145167,3.1824169025049582,1.0
3011,7.444359624484858,3.1284521191930326,1.0
3041,9.570274623771958,2.5034811283649603,1.0
3071,10.032431084535274,1.241751017836433,1.0
3101,6.996157684650024,2.675021952487683,1.0
3131,8.90997637045242,1.8773443900381301,1.0
3161,7.815482725924815,2.627963915283086,1.0
3191,9.53276988778222,2.058036844297506,1.0
3221,7.805526213121979,2.843602340573776,1.0
3251,10.600017357337414,1.6720819233437885,1.0
3281,8.251187614714027,3.350549649706589,1.0
3311,7.715022023879553,2.952646587065051,1.0
3341,10.570845708347285,2.1681826884073248,1.0
3371,7.719684619551788,2.7578359126643126,1.0
3401,8.915839727030276,1.8048196660375773,1.0
3431,8.439299444491663,1.9392213600511914,1.0
3461,7.357403332597377,2.378742251765591,1.0
3491,8.82475775515404,2.4409477076680237,1.0
3521,7.988911096069021,2.2960670178563682,1.0
3551,8.692832201838907,2.124976148420133,1.0
3581,8.906755513286265,2.558549339195775,1.0
3611,9.138826235559543,2.612947280026477,1.0
3641,8.732878685463966,2.762555698613672,1.0
3671,8.551123381936224,2.649481724640129,1.0
3701,7.612253496144944,2.04288036256021,1.0
3731,7.449090624269851,2.8764882836698296,1.0
3761,7.224132227481087,3.427361977545892,1.0
3791,8.322942175936113,2.718442028454494,1.0
3821,7.519020354325738,2.149683118991487,1.0
3851,7.421618910257598,2.4218606986595206,1.0
3881,6.935773690165839,3.197556320373101,1.0
3911,7.062154156090822,2.918583454393536,1.0
3941,7.165355772872474,2.2831687593649974,1.0
3971,7.3676244639206825,3.494124825412953,1.0
4001,8.289023001935655,2.4285138706715426,1.0
4031,8.550296812577344,2.5390227166497183,1.0
4061,7.756265113376062,2.3821258429375773,1.0
4091,7.925623420253434,2.101790169160846,1.0
4121,9.029641483752737,1.9790496394138406,1.0
4151,8.509861920442649,2.5166874589134323,1.0
4181,8.419392860113247,1.4983629390275235,1.0
4211,7.640238166649453,2.476749062193957,1.0
4241,8.225138491726305,2.074541374977589,1.0
4271,8.915748865841433,2.698480950289444,1.0
4301,8.476831179057193,2.455467572508458,1.0
4331,10.110688619424447,1.2427215131809695,1.0
4361,7.650718752297954,2.406517051751823,1.0
4391,6.0380087529635125,2.7284964724550793,1.0
4421,8.71983369420635,1.723882894356764,1.0
4451,7.801380705140911,1.821353260643393,1.0
4481,9.501631067602764,1.9943543050443564,1.0
4511,8.53111961551521,2.1882211353418346,1.0
4541,6.792623733774558,2.543454515671077,1.0
4571,9.50795146870358,1.8767636003504746,1.0
4601,6.708833553236786,2.603327210221345,1.0
4631,8.66474667877478,2.0334827270874656,1.0
4661,8.579398134100716,2.202049906604904,1.0
4691,8.558968321571674,1.3424431071564324,1.0
4721,8.023415466982666,2.334377787989338,1.0
4751,9.240128065215687,1.6125711520348964,1.0
4781,7.879667983026381,2.758712719289329,1.0
4811,7.6058587868895975,2.5794069268189657,1.0
4841,7.337238351856916,3.563986777330229,1.0
4871,8.24705986396193,2.7843651444919186,1.0
4901,8.401757190024938,2.018665249399814,1.0
4931,7.613211103425858,2.156525965550192,1.0
4961,8.195574493074412,1.3027579617629845,1.0
4991,8.525292113366165,2.024164902307713,1.0
5021,7.478763588181971,2.6593952392264577,1.0
5051,6.669983418634917,2.4852408479540418,1.0
5081,8.634075402178299,1.6076815472586312,1.0
5111,7.053298686932781,3.24326494927565,1.0
5141,8.622734654767964,2.590427496501317,1.0
5171,8.541083174562702,2.442768984489082,1.0
5201,6.898952556093258,2.6169951498680515,1.0
5231,8.301331759963784,3.2908892929704403,1.0
5261,9.069821639617366,2.4986960023814064,1.0
5291,8.567697105758528,2.1449714237556785,1.0
5321,7.098148106477364,2.575631500230728,1.0
5351,8.932306504052393,2.4928277744485956,1.0
5381,8.592455813249048,2.0589101608281113,1.0
5411,7.964889156350301,3.0906601099453455,1.0
5441,7.816516092720738,2.4041216353032846,1.0
5471,7.223073636807118,2.8204299988287467,1.0
5501,9.391359863169804,1.692411599527077,1.0
5531,9.304703411179867,2.2888270998412734,1.0
5561,7.935419368950307,2.44488520875824,1.0
5591,8.953008435671046,1.4891550805428244,1.0
5621,8.07737867702693,2.581876904822349,1.0
5651,8.659309300731275,2.032666894328362,1.0
5681,8.07420902047087,2.249816040933322,1.0
5711,7.581182295798581,2.0548438283222517,1.0
5741,8.154562421365787,2.6369141244254783,1.0
5771,8.90120795113519,1.9649132990217673,1.0
5801,7.899286206887125,2.181473355747554,1.0
5831,8.756999725843308,2.437652117722541,1.0
5861,9.166076898061783,2.0114686702763973,1.0
5891,7.010234761409297,2.816241247378103,1.0
5921,6.99513689648408,3.0571984110023736,1.0
5951,6.602877968359292,2.7466681285060384,1.0
5981,8.167620547493382,1.8382028329010263,1.0
6011,7.6796087278708995,2.7047468256975424,1.0
6041,8.443293094225238,2.497748430667991,1.0
6071,7.843838304968849,2.2527293549172067,1.0
6101,8.992260846168335,2.2724578463783747,1.0
6131,8.767970486349865,2.59172743957909,1.0
6161,6.751338051756401,2.7771932208348056,1.0
6191,6.837638404224115,3.027162721755579,1.0
6221,7.568286878581267,2.2146050243934545,1.0
6251,9.438523503039344,1.7238350354362615,1.0
6281,7.617489913401099,2.5667649817132037,1.0
6311,8.605312778980295,2.3545137084749634,1.0
6341,9.079088789154518,1.4127387420098267,1.0
6371,9.832209751925634,1.9346252728282927,1.0
6401,9.605834932402548,2.0878436486656557,1.0
6431,8.056711568085358,2.125728556059186,1.0
