,SI,SD,TSS
1,5.470531397190853,1.3924825938326137,1.0
31,4.284507277891213,2.17467890033545,1.0
61,4.2083759999138435,1.9360305861780496,1.0
91,5.461713158105496,1.8863817882197569,1.0
121,5.201265071771965,1.4820320708514803,1.0
151,5.531911024334776,1.5833367741184847,1.0
181,4.469783986577322,2.1561736600250128,1.0
211,5.112228013149734,2.211082677372959,1.0
241,4.750349962121967,1.8738961867241677,1.0
271,3.9133145531350144,2.0792601114620815,1.0
301,5.622775480852655,1.687050257426075,1.0
331,5.014075379758998,1.7438304568484502,1.0
361,4.980293769063042,1.268273369639128,1.0
391,6.156528434322787,1.1823267257775862,1.0
421,4.163189074669537,1.7034368245739564,1.0
451,5.302862860554049,1.4943502714988504,1.0
481,5.062606065917995,1.8763392640876198,1.0
511,4.611094806264612,2.04767560561231,1.0
541,5.587885384690984,1.8152117738566864,1.0
571,3.9673799979616886,2.1185131836174698,1.0
601,4.944966932628564,1.9017954084916062,1.0
631,4.520149437602285,1.667688274538445,1.0
661,4.218384466502455,1.8832954007457663,1.0
691,5.455455024398029,1.8328780189299363,1.0
721,6.039819557673618,2.136918481050142,1.0
751,5.667410822056815,1.7496598146528328,1.0
781,4.296627661168111,1.4128689221588964,1.0
811,4.911268662189026,1.8981935512507513,1.0
841,5.385515252667565,1.9812594036485773,1.0
871,4.116000540457742,1.836693155992257,1.0
901,5.622611103994785,1.710292275136854,1.0
931,6.096683192158365,1.7045175201515435,1.0
961,5.55827306279479,1.8106433439996255,1.0
991,4.938907326270454,1.8071157671906442,1.0
1021,3.6683229428066553,1.9515014390358705,1.0
1051,5.437662926124961,1.9025464494924562,1.0
1081,3.7228663358714433,1.5936204588062246,1.0
1111,4.652815282171631,2.1462558638855342,1.0
1141,3.416479130571382,2.1971802912411413,1.0
1171,3.705637009006628,2.180344429634224,1.0
1201,4.7426239293301915,1.8961196218627492,1.0
1231,4.878124048616587,1.9361722561695398,1.0
1261,4.195689778062507,2.4055563956618675,1.0
1291,5.316165808237016,1.4258987984077724,1.0
1321,4.895750907629268,2.0010104003394433,1.0
1351,5.01272183420664,1.8186315679108134,1.0
1381,4.313222037295165,1.5689661382769309,1.0
1411,5.23242565164895,1.0675339712172338,1.0
1441,4.271180598992336,1.6295313641833011,1.0
1471,4.385672775477677,1.9407958733069663,1.0
1501,4.8590062472441105,1.9019784337578087,1.0
1531,5.839687572513268,1.6237947628049814,1.0
1561,4.003959063154125,2.083062438466869,1.0
1591,5.245662622144655,1.8815231640554118,1.0
1621,4.2396002840287625,1.7813218984112562,1.0
1651,4.492126767135585,1.884787896647722,1.0
1681,5.184258545976027,2.114450503677966,1.0
1711,4.95174540081834,1.5664345551056573,1.0
1741,5.927048721006517,1.6253843338044494,1.0
1771,5.173611670009431,1.838833580092072,1.0
1801,5.098380824586826,1.590813179473594,1.0
1831,4.197492045064548,1.8207874555230206,1.0
1861,4.617238126436807,2.0443431095363103,1.0
1891,4.691456411134524,1.9080363153150206,1.0
1921,4.542905617493732,1.872861618029431,1.0
1951,4.3235557509707,1.6533587152881082,1.0
1981,5.4059669584273555,2.144712491805411,1.0
2011,5.196079200887453,1.7441845153369395,1.0
2041,4.196814515598177,1.6426698969162505,1.0
2071,5.4385837438550695,1.711085947727484,1.0
2101,4.600534574856158,1.7725215119064626,1.0
2131,4.781422627301302,1.9845407923793665,1.0
2161,5.112021568697839,1.4785447093538817,1.0
2191,3.9684971640078217,1.7897166932212865,1.0
2221,5.393280052455733,1.8528272653532305,1.0
2251,3.5629368649194815,2.0812111870797536,1.0
2281,4.73943677724508,2.0851011606862238,1.0
2311,4.813736710781843,1.6506954908523546,1.0
2341,5.151293815960459,1.6259957199416586,1.0
2371,4.410005208656814,1.8292129778216366,1.0
2401,5.30798171377229,1.7541057415411736,1.0
2431,4.292425622711,1.4243008845106648,1.0
2461,5.723303859141119,1.5918196575323829,1.0
2491,5.507129292780652,1.963915695870926,1.0
2521,5.153743686935754,1.6539688558878851,1.0
2551,4.648395104318372,1.853210132042237,1.0
2581,6.176413032801451,1.3416974248544182,1.0
2611,5.610477855177334,1.9706407326974618,1.0
2641,5.873105745282846,1.896605422811978,1.0
2671,4.872294586803707,1.600632759430222,1.0
2701,5.337035895670383,2.1808293531432703,1.0
2731,5.042372756143324,2.2853410517941373,1.0
2761,6.116722769526609,1.9527893266221903,1.0
2791,5.009017619814427,1.8664045889902723,1.0
2821,4.680650476190146,1.9906082186106944,1.0
2851,5.137438137819958,1.1788996090512143,1.0
2881,5.615019478797775,1.4683024100276771,1.0
2911,4.551400837783836,1.928227021308714,1.0
2941,4.629651800279117,2.009280254449449,1.0
2971,4.774448757472085,2.228943658542734,1.0
3001,4.997591261199102,2.4414183657268813,1.0
3031,4.7347666049179,1.241859818225701,1.0
