,SI,SD,TSS
5,5.04158295732546,1.7810065688950754,1.0
35,3.7246000144773665,2.474131552055014,1.0
65,4.1201628566110315,2.2307686122626165,1.0
95,4.918988187873254,2.1640909735676472,1.0
125,4.428221253202946,1.6429029327304157,1.0
155,6.627996977688779,1.2561453510115954,1.0
185,4.035236995592409,2.249492908583248,1.0
215,5.058862661195505,2.1574869787233433,1.0
245,4.27089863620342,1.6740860791665888,1.0
275,4.27597814783043,2.2757785127330634,1.0
305,4.948176603904059,1.7053328037487399,1.0
335,4.643454731247944,1.8585761542124029,1.0
365,4.994815493687606,1.315025857441538,1.0
395,5.774331037627664,1.181508766394047,1.0
425,3.992574122336558,1.776439283270244,1.0
455,5.289174138580574,1.6141359897010779,1.0
485,5.33475702638323,1.8403809627058425,1.0
515,4.342571386594809,1.9842911401491468,1.0
545,5.677469581577743,1.7180480236799545,1.0
575,3.861575550558906,1.9217416861878742,1.0
605,4.891776589805806,2.081693164320241,1.0
635,4.713683033097367,1.797962447898258,1.0
665,4.20719990850204,1.2431522185632278,1.0
695,5.019179393614669,1.8358460732469186,1.0
725,5.877029182143074,1.4376869541321025,1.0
755,4.950704732914081,1.7616261312859451,1.0
785,4.580131074411625,1.645837043671248,1.0
815,4.2587334403211425,1.4954221711217472,1.0
845,4.963087441039963,2.4497802119053578,1.0
875,4.396584114152478,2.017329879997805,1.0
905,5.20426342965203,1.7515697323654222,1.0
935,5.473009445495013,1.7164445130165653,1.0
965,5.393254865268886,1.788242826112302,1.0
995,4.525191230645028,1.578543549591893,1.0
1025,3.498652578063693,1.945773934903192,1.0
1055,5.164881596562664,2.244118838267776,1.0
1085,3.9091262672831046,1.9340581375861632,1.0
1115,4.916016638875205,2.7000665354719846,1.0
1145,4.594938250212485,2.3114474157775455,1.0
1175,4.2571415153438785,2.1495888666670786,1.0
1205,4.998993313131578,1.7301883723934348,1.0
1235,4.65554763529434,2.110888583499638,1.0
1265,3.6455993263187825,2.583006826762006,1.0
1295,5.157994499693477,1.5720113479926665,1.0
1325,5.040011709764377,1.8447428291005126,1.0
1355,3.9567674196004337,1.7049957173039962,1.0
1385,4.571890564721182,1.1928404260696968,1.0
1415,5.010460204062421,1.1236987872775737,1.0
1445,4.1262326479759315,2.0555828678615184,1.0
1475,4.359880694594913,2.2038930440356563,1.0
1505,4.153166956907952,1.961733610261533,1.0
1535,5.435559889444776,1.754902073024706,1.0
1565,3.880209192088807,2.3583406162760907,1.0
1595,5.12619701186697,1.9296471603845806,1.0
1625,4.553585787801286,1.496872419873161,1.0
1655,5.11430194214924,1.5659294748669883,1.0
1685,4.484270954146927,1.824884520229194,1.0
1715,4.498289125782361,1.9586146161622997,1.0
1745,5.745950800933265,1.6550193751522095,1.0
1775,4.944367666843779,2.03528925414967,1.0
1805,5.214664839411238,1.3559567543821673,1.0
1835,3.97898551000065,1.6736561496481461,1.0
1865,4.389724518894307,2.042633185776055,1.0
1895,4.96392964942675,1.7222632240629154,1.0
1925,3.950095956413099,2.167961939724562,1.0
1955,3.7146404789188003,1.7773535087080243,1.0
1985,4.97506747073372,2.103193849218183,1.0
2015,5.32784198688782,2.3055003510647643,1.0
2045,3.3252239407742876,1.5975681582712804,1.0
2075,5.14992465312203,1.97334031918081,1.0
2105,4.553551365260452,1.5467032575121058,1.0
