,SI,SD,TSS
3,6.891127107989747,1.3803587061314448,1.0
33,4.246644225797828,2.592241653520236,1.0
63,4.502498700942307,1.9082261033250494,1.0
93,5.591694559228619,1.8540205532408367,1.0
123,4.72920584568044,1.7883958221088307,1.0
153,4.318105647399705,2.2254212895232732,1.0
183,4.294926156352248,1.9479165806781462,1.0
213,4.424408245418519,1.8690915989320624,1.0
243,4.920563742584153,1.9352900846659513,1.0
273,5.225954584676054,1.4565421290136533,1.0
303,4.369338072560347,2.1008459665152475,1.0
333,4.955725260221281,2.4650250425906792,1.0
363,4.27913388747085,1.8356403299862725,1.0
393,4.6320854748231906,1.3303017131240105,1.0
423,4.728614669024915,2.6410461663441045,1.0
453,5.18957917264929,1.7148984540278545,1.0
483,3.8330253131048138,2.4783074055619907,1.0
513,4.26716389691101,2.4408680690194733,1.0
543,4.279632541051206,2.326954994001155,1.0
573,5.253550921502366,1.9595754017170512,1.0
603,3.7275570825976367,2.0892124901759215,1.0
633,4.215178204242796,1.65326754399784,1.0
663,4.5116459409883385,2.281834444047859,1.0
693,4.581108254703046,2.1647375211298323,1.0
723,4.481297190882655,2.1993636629717623,1.0
753,5.332191423532855,2.266664419684303,1.0
783,3.778830906443585,1.8657974333319405,1.0
813,4.754091143135701,2.142626379756464,1.0
843,5.192992632743758,1.5207551387738831,1.0
873,5.0340025622348055,1.7537285486040763,1.0
903,4.352240268074071,2.4753844335071,1.0
933,4.199928518121823,1.62661138067446,1.0
963,4.117273728238251,2.029948728077759,1.0
993,5.170165190182791,1.822746590325673,1.0
1023,4.173836871588159,2.4544973629862183,1.0
1053,5.1946328186658715,2.6373323203953434,1.0
1083,4.497554979249936,1.9236488587897362,1.0
1113,4.918831398354693,2.1138596680720507,1.0
1143,4.902060088254777,2.24611535922987,1.0
1173,5.157613227475625,2.3701135349184703,1.0
1203,4.8128309590058524,1.791906946499489,1.0
1233,5.011186653491856,2.154656069939584,1.0
1263,4.828417445254373,2.1917180361184116,1.0
1293,3.796426965754044,2.185264630753731,1.0
1323,5.144894201164829,2.1964229892959373,1.0
1353,4.256975808503154,1.9985432316862914,1.0
1383,4.6735413873520475,2.052086588717471,1.0
1413,4.218961967960513,2.0687784291753095,1.0
1443,3.9272484471542612,2.1935923885063526,1.0
1473,4.4595182065056855,2.5328663060798324,1.0
1503,5.596893733448456,2.1551416464050304,1.0
1533,4.364069778430377,1.9684389136526286,1.0
1563,4.517465563031438,2.0624019087814034,1.0
1593,5.328156368392749,2.3214869317232383,1.0
1623,4.089900816742142,1.8872865721462666,1.0
1653,4.098302646684763,2.2360127353277597,1.0
1683,4.23098833523284,2.521083095774796,1.0
1713,4.683197857866383,1.6760905700384505,1.0
1743,4.890343061553076,1.8039196995379567,1.0
1773,4.829508390899657,1.4401573278880166,1.0
1803,3.891303903054021,1.5868277008879887,1.0
1833,4.904856295396753,1.470218749243945,1.0
