,SI,SD,TSS
2,3.8439217778075516,1.8357051281412882,1.0
32,4.261745682451555,1.920345844629268,1.0
62,4.998386997332995,1.8575011366133312,1.0
92,4.007871767472784,1.7410177791593657,1.0
122,4.019862004744676,1.3792890427277353,1.0
152,5.028268597043538,1.9465601820315883,1.0
182,5.360370326567625,1.7124893171135964,1.0
212,3.5330011229481033,1.6833508477072672,1.0
242,4.7553416624743265,1.4571898537825425,1.0
272,4.140445173648853,1.8205244797419926,1.0
302,4.914119052249852,1.996286240875646,1.0
332,4.757951052136311,2.062931316865191,1.0
362,5.229062812055319,1.3255103574282627,1.0
392,3.7432632271761976,1.0644209827791542,1.0
422,4.856633306250027,1.8386644125250364,1.0
452,3.74166465739415,1.4361352462967454,1.0
482,3.5683292412609062,1.6744486430580967,1.0
512,4.26469240125078,2.0475496214570463,1.0
542,4.7376288643817235,1.863198245318529,1.0
572,4.476609221916334,2.3732793420318714,1.0
602,4.419226648692342,1.8980804845852228,1.0
632,4.03517118728828,1.9706093500085842,1.0
662,5.649769473381034,1.7892799988339896,1.0
692,4.090157769912458,1.9891660064343593,1.0
722,3.9972991474189503,2.2515613057461215,1.0
752,4.53575910952116,1.58632769054031,1.0
782,3.5400972901745162,1.8682069478427779,1.0
812,4.4383157350665075,2.0216495342905723,1.0
842,4.5454006632662285,1.9800990578318274,1.0
872,4.949397677865924,2.100962997534727,1.0
902,4.80796152246242,1.5952258489375803,1.0
932,4.517237755653633,1.7418160338320854,1.0
962,4.7184553614876545,1.9085248263739572,1.0
992,3.9530378381431386,1.8137835508652982,1.0
1022,4.755300152029293,1.8062237486623378,1.0
1052,5.02805710346588,1.4216814085444784,1.0
1082,4.3304394862285625,1.9051582772958109,1.0
1112,5.995664219851685,1.6668950515646948,1.0
1142,4.516665399612281,2.053916771799585,1.0
1172,5.537304836611292,1.8246135447740044,1.0
1202,4.45737513203455,1.5584574218706853,1.0
1232,3.6283638447385265,2.1155931554779164,1.0
1262,4.798895384935237,1.9993192275353309,1.0
1292,4.448354977768013,1.2786260452852398,1.0
1322,4.953814109991819,1.5622226625551214,1.0
1352,4.3059280056378535,1.6034676780961394,1.0
1382,4.287934477686194,1.8714219842440993,1.0
1412,5.252076243001547,1.5583437183716715,1.0
1442,4.661090492473388,1.533788472142168,1.0
1472,5.4386774097496025,1.3582741145297568,1.0
1502,4.406247799378128,1.2694677529513723,1.0
1532,4.192758101102271,1.5691427207875892,1.0
1562,3.839513630697243,2.069183415614287,1.0
1592,5.208948143208451,1.638212542505808,1.0
1622,4.7260132171494735,1.9577019453187579,1.0
1652,3.907351319893404,1.4352079238449413,1.0
1682,4.234087248991043,2.2392348045431794,1.0
1712,5.250825996346364,1.8747989659990483,1.0
1742,5.200901269854088,1.7520549323333958,1.0
1772,4.176302188006903,1.8829879832964418,1.0
1802,4.271941976891194,1.3111972637822569,1.0
1832,4.653784252631781,1.7926223721603398,1.0
1862,3.636901206317661,1.9733405604765784,1.0
1892,5.164474625920433,1.77136617604987,1.0
1922,5.070842815338329,2.343297601057744,1.0
1952,4.981611491691591,1.5500088044732878,1.0
1982,4.280324440884599,2.0837234566218443,1.0
2012,4.030377943410003,2.1101529900103357,1.0
2042,4.481793354244438,1.960711829975258,1.0
2072,4.788622164320113,1.6575887625427028,1.0
2102,3.7582512929347294,1.6614853933514449,1.0
2132,4.609844933139747,1.1236512188314673,1.0
2162,4.579335674585113,1.6544291791266643,1.0
2192,4.557631172390754,1.3274006937279155,1.0
2222,4.8420668409344145,1.523222567278964,1.0
2252,4.704628960188559,1.4826109281391546,1.0
2282,5.791068150043579,1.5929469489612242,1.0
2312,4.141636697974858,2.2500623771127275,1.0
2342,3.8105689724967475,2.1766312328673325,1.0
2372,3.640766621911076,1.4490661831374434,1.0
2402,4.039712027828024,2.0828315477428805,1.0
2432,4.491354300530649,1.605129760842438,1.0
2462,4.445507066705463,2.1764975385611143,1.0
2492,4.265940371952386,2.0699240263847964,1.0
2522,4.012303352794805,1.8872417607871497,1.0
2552,4.4715388915216145,2.458875825043386,1.0
2582,3.8756663497227315,1.6348622425275885,1.0
2612,4.496514102588674,1.9980558451339472,1.0
