,SI,SD,TSS
0,6.855600135329985,1.2966244423805269,1.0
30,4.215038229980377,2.6041386828692703,1.0
60,4.5800422731699255,1.8538113627734905,1.0
90,5.666056396851364,1.8889062242982093,1.0
120,4.6868521597965005,1.7386022234147707,1.0
150,4.335663734786922,2.196079694304936,1.0
180,4.364899502577223,1.8881933922511251,1.0
210,4.359353435159531,1.869577840751844,1.0
240,4.91509926799385,1.9054431181041842,1.0
270,5.220641075311816,1.441665829336097,1.0
300,4.4527404989458015,2.0808721443503067,1.0
330,5.0250352996799466,2.418170360036587,1.0
360,4.3214325761508015,1.8213692236404984,1.0
390,4.665848290781482,1.3155828278931179,1.0
420,4.752314067245842,2.613452656167697,1.0
450,5.244675467790855,1.6888645238109754,1.0
480,3.8195757821179623,2.440042566996771,1.0
510,4.2774461165473125,2.4639889788117126,1.0
540,4.3153442359497225,2.3396421030478547,1.0
570,5.195655530894812,2.0057521081371332,1.0
600,3.749310592651281,2.1495202519571337,1.0
630,4.270137368697691,1.6380210036434302,1.0
660,4.562528392140877,2.2837422306100326,1.0
690,4.585245504425795,2.1801939439428106,1.0
720,4.558772341858721,2.218999357814671,1.0
750,5.347180165661272,2.2498439776126746,1.0
780,3.733423541744595,1.8252902542820633,1.0
810,4.706069409956506,2.1722894451129373,1.0
840,5.295471229984187,1.4589119378424293,1.0
870,5.008789774010147,1.7397653198265288,1.0
900,4.3467336699428865,2.4267649108358613,1.0
930,4.308878773368783,1.564760044545469,1.0
960,4.153374126960563,2.108507731977972,1.0
990,5.103266201014782,1.891650713314355,1.0
1020,4.156954544053599,2.451689639295752,1.0
1050,5.323061761464972,2.576293779958065,1.0
1080,4.453150849355022,1.869958135362047,1.0
1110,4.828845979809783,2.184188147108381,1.0
1140,4.767846988456879,2.3219887946508093,1.0
1170,5.05978096881285,2.363587956571934,1.0
1200,4.836118032708101,1.8488003267266755,1.0
1230,5.019599200630542,2.1472967259031424,1.0
1260,4.825523849919525,2.15425485049801,1.0
1290,3.901354377663663,2.1663224221585,1.0
1320,5.127713313378463,2.15765757092331,1.0
1350,4.22067518882268,1.9880738087783063,1.0
1380,4.684688483422365,2.0865388925712347,1.0
1410,4.285607006289915,2.115058726029717,1.0
1440,3.9611851162512903,2.2284926251048,1.0
1470,4.500380802197388,2.467110066380912,1.0
1500,5.614000724515671,2.115548901820546,1.0
1530,4.388213379757713,1.9750726085657149,1.0
1560,4.553350538083391,1.967051809604284,1.0
1590,5.368234649521125,2.2948169662398565,1.0
1620,3.994638206243612,1.967608335952223,1.0
1650,4.070032229247239,2.2709765548958334,1.0
1680,4.279156515745611,2.570579278971784,1.0
1710,4.7377647544240915,1.682670653165087,1.0
1740,4.964438953911221,1.7946563692703903,1.0
1770,4.769709283751004,1.486975724452203,1.0
1800,3.9267594772992718,1.6371575410640982,1.0
1830,4.811473128456339,1.4933590739716045,1.0
1860,3.3496658721347936,2.266739857995073,1.0
1890,5.152239769077592,1.698089779954616,1.0
1920,4.789224064130145,1.6716862578604028,1.0
1950,5.45250468200977,2.1732336615792227,1.0
1980,4.645645266482546,2.1112806359812755,1.0
2010,4.41862975671374,1.8842510803330383,1.0
2040,4.755661312251638,1.9902567497870713,1.0
2070,4.447532178551603,1.6651738493798496,1.0
2100,4.437480322432753,2.0966312034129535,1.0
2130,5.177078963112685,2.125273322838818,1.0
2160,4.555426197945773,1.8875134407418384,1.0
2190,4.543357000220899,1.8127542132062688,1.0
2220,4.629343684635723,2.0044545096799613,1.0
2250,4.848512484563133,1.7011627075512905,1.0
2280,4.928155380209162,2.4677048997193025,1.0
2310,4.971250285600503,1.9857101929353622,1.0
2340,4.527361766470949,2.3380233807996773,1.0
2370,5.900047386555062,1.0238401428287236,1.0
2400,4.994024325890941,1.5896653284657252,1.0
2430,4.939484505376599,1.52124220715748,1.0
2460,4.626510161492782,1.5559773778191481,1.0
2490,3.8185262107918687,2.009649979680139,1.0
2520,5.023998844919379,2.267439332182241,1.0
2550,4.314106243301544,1.6795696155631532,1.0
2580,4.433547348755945,1.9033709072592815,1.0
2610,4.650996086240775,1.995069742187745,1.0
2640,3.7924605183335394,2.23170354863841,1.0
2670,4.196027984406969,2.1821859063179567,1.0
2700,5.244145508230583,1.967589122796541,1.0
2730,5.022624982649239,2.8180470109416005,1.0
2760,4.36380038294237,1.9116289727830742,1.0
2790,4.46340423139804,2.145901084228968,1.0
2820,3.564910885689091,1.9799172466139514,1.0
2850,4.023807674665161,1.9840807151193611,1.0
2880,4.733303834120846,2.024294535299891,1.0
2910,4.5640673107206435,1.7938309337601788,1.0
2940,4.468986075813673,2.2807854013816784,1.0
2970,3.357454118352365,2.240707456107981,1.0
3000,4.620199949776643,2.167039948609562,1.0
3030,3.749683538774973,1.687814262077115,1.0
3060,5.047344227024088,1.034899430554088,1.0
3090,3.394121224590841,1.9940897984817174,1.0
3120,3.9179316845694845,2.1214911361012314,1.0
3150,4.634253020863775,2.3614798231543497,1.0
3180,4.718798997733657,1.3165896938705595,1.0
3210,5.143554895426185,2.0580073262853293,1.0
3240,5.091062926732824,1.2745347193644567,1.0
3270,4.211269669875555,2.5353534014868027,1.0
3300,3.9652347362935934,2.413641282517486,1.0
3330,4.115524316180472,1.78807673401943,1.0
3360,4.525865243762856,2.404898940477215,1.0
3390,4.01185603880071,2.028377595333916,1.0
3420,4.46220678254307,2.422198428325402,1.0
3450,4.419472446854104,1.628287541753936,1.0
3480,4.313822638373712,1.6080892744497532,1.0
3510,4.116653281063996,2.055606275596428,1.0
3540,3.9271633799552697,1.7885384363283536,1.0
3570,4.44066067777504,2.1061086709003596,1.0
3600,4.07092152533302,1.8191691695574872,1.0
3630,4.406069642175733,1.7921325426995158,1.0
3660,5.533350110716386,1.8376906693380124,1.0
3690,4.387165503109498,2.0779590347436634,1.0
3720,4.315127152399387,1.9955284415851238,1.0
3750,4.80525157648067,2.4821378879876552,1.0
3780,4.869452267015527,1.9128031778376535,1.0
3810,4.4600723494944114,2.2286518397114135,1.0
3840,4.881295683293379,2.5105669138012296,1.0
3870,3.6518747934101805,2.138422578840045,1.0
3900,4.552638989476813,2.0808529067172583,1.0
3930,4.523817962820126,2.257786990839874,1.0
3960,3.833327749025444,2.2624761752926483,1.0
3990,4.310179024652872,1.5717860622310569,1.0
4020,4.136182404088457,2.450542685183686,1.0
4050,4.980267450175618,1.8924548610533933,1.0
4080,5.377387166153915,2.0223033675435493,1.0
4110,4.658596562774418,1.7486995468793032,1.0
4140,5.405446674577673,1.4628182408916524,1.0
4170,5.088578539012984,1.999453156065654,1.0
4200,4.65819291342833,1.9434582158698974,1.0
4230,4.818373801338022,1.8687305066150695,1.0
4260,5.134960390787344,1.9265628702552287,1.0
4290,4.366812363038967,1.8242189186351925,1.0
4320,5.73802347419752,1.5238697671811965,1.0
4350,4.707406883511047,2.144705102010701,1.0
4380,4.656075513645354,2.2115495573872246,1.0
