,0,1,tss,new_tss
5393,-0.4897718541536799,-0.042552614898566654,1.0,1.0
25175,0.4488641263719985,-0.2036908412381111,0.0,0.0
19543,-0.6155945214371739,0.42939320340968756,0.0,1.0
15845,1.7465885934170802,0.28504830532329856,0.0,0.0
17207,2.1683571500925805,-0.018652959054587998,0.0,0.0
19137,0.02404925815061289,-0.18071058899547282,0.0,1.0
20359,0.41843648962275964,-0.935894682658956,0.0,1.0
12160,-0.4892700783049407,-0.17388485343313523,1.0,1.0
19457,1.509176380775452,-0.2502541987657888,0.0,0.0
5014,-0.0009482000770628443,-0.26941225729986523,1.0,1.0
10769,-0.7566655224264685,0.12097796159475584,1.0,1.0
2908,-0.8724667443850775,0.5524769163468614,1.0,1.0
2919,-0.7108438063674981,-0.0854068156628379,1.0,1.0
17463,0.6791846781176296,0.45619426563712595,0.0,0.0
14424,0.681774640377648,-0.6512170348438562,0.0,0.0
2617,-0.5054738569090588,0.5821251779575545,1.0,1.0
10130,-0.530718242394384,-0.10122825631202348,1.0,1.0
4907,-0.3649631290291385,-0.3232815337883124,1.0,1.0
10789,-0.8637011993299616,0.360200097641427,1.0,1.0
20113,0.19644335293866114,0.13216642069346177,0.0,0.0
5283,-0.8880949788385408,-0.1377682916077542,1.0,1.0
18389,-0.09945928129350527,0.3249929257340498,0.0,0.0
13047,1.3004680386661147,0.3488215321012947,0.0,0.0
4649,-0.8902406239842916,0.8850530446136188,1.0,1.0
14875,0.7830543919280785,-0.036157732771662635,0.0,0.0
231,-0.18630079037002942,-0.6730146432420457,1.0,1.0
2214,-1.73943239323362,-0.10097345978209678,1.0,1.0
7115,-0.7100147379842935,0.01246077146815239,1.0,1.0
15799,-0.8624300475229832,-0.2789970052247496,0.0,1.0
19897,2.11058519058248,-0.3141938359693386,0.0,0.0
9211,-0.48447107322584865,0.4319960314909129,1.0,1.0
20216,0.4922624697706155,0.28751987067927615,0.0,0.0
7878,0.602414575693483,0.2367524779257574,1.0,0.0
6402,-1.0051346378727957,-0.6018614066488172,1.0,1.0
21686,-0.2794272126445006,0.3317333292570702,0.0,1.0
17306,0.18922849650762621,0.13615120882322324,0.0,0.0
1289,-0.26502568001069915,0.5016613406971032,1.0,0.0
21251,0.733531619221429,0.03987560695599224,0.0,0.0
24257,-0.826044337885526,0.60970829009065,0.0,1.0
22626,-0.4327533372293691,0.14266408621051668,0.0,1.0
25365,-0.13193006703056473,0.025217803632923776,0.0,1.0
11783,0.9147476109646294,0.04930132764989335,1.0,0.0
2560,-0.2587649895189356,0.32484801695561183,1.0,1.0
15906,0.26671229652743716,0.6544886801869582,0.0,0.0
15897,1.4021041845774238,0.19106059260143543,0.0,0.0
10350,0.05822602258349291,0.1842224582014771,1.0,0.0
12992,0.6340864960862865,0.05039743068616085,0.0,0.0
19271,-0.6633452538815735,-0.025290241715496365,0.0,1.0
10972,-1.8555131097119868,-0.3077613580213952,1.0,1.0
3745,1.407873151322936,0.12826690008633435,1.0,0.0
23522,1.6680275028132572,-0.07218615379741032,0.0,0.0
15924,1.8389366193350363,0.14463505417961894,0.0,0.0
13410,0.7234107351451906,0.3202934697390413,0.0,0.0
13973,-0.3796963821565887,0.03846540027112739,0.0,1.0
13202,-1.5184173137051564,-0.10837210646267814,0.0,1.0
8275,-1.7928012853228215,0.45876579465524936,1.0,1.0
22340,-0.9650383413784082,0.06772484960242267,0.0,1.0
9949,1.3462068519996215,-0.22194675306389985,1.0,0.0
16695,-1.5003824361007905,0.16470433062699327,0.0,1.0
14949,0.08606338281755106,-0.5334291892666775,0.0,1.0
8838,-0.8670756100855128,0.08417929878911064,1.0,1.0
23815,-0.32638263798622436,-0.3311825151037641,0.0,1.0
3456,-0.11102936688050213,0.3195999477244401,1.0,0.0
4970,-0.011176049641534043,-0.5395726081918202,1.0,1.0
15974,-0.3824460450797069,0.011985235429730423,0.0,1.0
3069,1.0054573739792017,-0.14383803742153697,1.0,0.0
20816,0.4401061360300221,0.6918843945109396,0.0,0.0
25516,0.10375855165735946,-0.6119707352194093,0.0,1.0
3128,-0.6589688064640745,-0.08750290702302342,1.0,1.0
2328,-2.2664618964931464,-0.0631624628218524,1.0,1.0
23804,0.6461833972301568,-0.22060633325782536,0.0,0.0
9611,-1.9039524005232018,-0.17671311611912666,1.0,1.0
18457,0.06481215329986897,0.5773399135924842,0.0,0.0
15995,-2.126846891702393,-0.33579351827862564,0.0,1.0
25452,-0.5368748090743692,0.30383956542687385,0.0,1.0
4577,-0.06554417599338702,-0.3346541951543753,1.0,1.0
13751,-0.06367493577931413,0.43697664546345566,0.0,0.0
24056,0.24258982139407564,-0.5023861577265395,0.0,1.0
12952,0.8497422478536683,0.26203589472429006,0.0,0.0
21608,0.7470232617931993,0.08818085105512057,0.0,0.0
8935,-1.7127588703179046,-0.08210094705581698,1.0,1.0
6189,-2.3314748052948326,0.01928063979263897,1.0,1.0
17232,-0.9435027911714374,-0.3393675143147426,0.0,1.0
18021,-0.21575150289279635,0.20377556757456552,0.0,1.0
188,-0.8178494877911026,-0.28689352895644443,1.0,1.0
19733,-0.6262790238168713,-0.2407501818021743,0.0,1.0
23200,-0.8538461958448378,0.4575196111048946,0.0,1.0
18520,0.8332627419509406,-0.320699100466197,0.0,0.0
13565,0.45513971284968957,-0.12222499922785318,0.0,0.0
23103,-0.5855177063569317,0.15827215829617095,0.0,1.0
5549,-0.9021521180630643,-0.3206878882148953,1.0,1.0
3561,-1.740839619839733,0.15125995456350658,1.0,1.0
21273,1.0112198447243603,0.24265195501229042,0.0,0.0
5118,0.11709534868933148,-0.16739607868480744,1.0,0.0
23782,-0.6395195834443398,0.44081633189570374,0.0,1.0
1520,-0.39337630656986744,0.019908954382878385,1.0,1.0
13286,-0.9676923274781499,-0.17650519875178217,0.0,1.0
7146,-1.8430243615080042,0.0341084167400448,1.0,1.0
17854,2.006127457075319,-0.21824324958515176,0.0,0.0
18995,0.3922817160548046,-0.6169622227051672,0.0,0.0
5104,-0.5020931312598232,-0.03535924026313503,1.0,1.0
16506,-0.3264853670253576,-0.12251443536788215,0.0,1.0
24775,0.13758879438952487,0.13035730518621236,0.0,0.0
22403,0.2656010735474984,0.28879754817146985,0.0,0.0
18970,0.42764554485496886,0.24267472263257192,0.0,0.0
3075,-0.13041198739564652,-0.2362089402351021,1.0,1.0
15307,0.9439171540883649,-0.31152729186696837,0.0,0.0
11598,-0.434414954330997,0.5429693214572171,1.0,1.0
21986,0.1007354389626885,0.32181663226264573,0.0,0.0
24874,1.5679820933585922,0.29550506416400446,0.0,0.0
9014,-0.7585432999450329,0.4013017491082265,1.0,1.0
9080,0.854730955593471,0.7703790644655254,1.0,0.0
11866,-0.012019367034360809,0.210225086649411,1.0,0.0
11932,-0.2880572160372524,-0.6242017738289877,1.0,1.0
13192,0.5095662403978903,0.32227499333692433,0.0,0.0
18028,0.8396869764113907,0.3662264718849106,0.0,0.0
17462,1.018330545701837,-1.1762431943477745,0.0,0.0
18533,-0.8232024055975271,0.34647248683183424,0.0,1.0
7580,-1.463140703640227,-0.47147146489422304,1.0,1.0
10140,0.41732929966734356,0.12522449882904313,1.0,0.0
20961,0.35414057569986457,0.20735590956828504,0.0,0.0
15668,1.0173626679177254,0.2063609361632009,0.0,0.0
8628,-0.9586875442897225,0.19010819683497915,1.0,1.0
21020,0.41226713399771064,0.010754552442130307,0.0,0.0
14547,-1.4346947205833867,-0.018713905383846926,0.0,1.0
16130,1.3744531450377726,0.4399199831075784,0.0,0.0
4511,0.30956350109558894,-0.2562327919184066,1.0,0.0
37,0.6558018784325088,-0.015978651426029146,1.0,0.0
5883,0.6740045388450498,-0.38281884532119126,1.0,0.0
24100,0.2418136569801002,0.0637104494453927,0.0,0.0
6194,-0.689216536208732,-0.1209007348255659,1.0,1.0
10157,-1.1170139434817774,-0.8872332984897126,1.0,1.0
11721,-2.036568263715543,-0.007160227542443565,1.0,1.0
17290,0.5341481102709305,-0.1619659307316807,0.0,0.0
18717,0.9537049376334826,0.7340164382262638,0.0,0.0
13005,1.4070927848177521,-0.2592141508082706,0.0,0.0
6823,-0.29467918949488303,-0.7659508248689173,1.0,1.0
6746,-0.9365530445614114,0.024919415918007178,1.0,1.0
5041,0.7822415252291318,-0.356976666701615,1.0,0.0
6797,-0.931474258445211,-0.1248848255804373,1.0,1.0
25361,0.9672280588665736,-0.10108721156716814,0.0,0.0
19704,-0.08504137589777702,-0.07383269058044617,0.0,1.0
1247,0.2978612678641628,-0.15125782699293833,1.0,0.0
22866,-1.1506688837563663,-0.366271475269355,0.0,1.0
7244,-0.6425584645209694,-0.5241213803704626,1.0,1.0
22333,-0.2716992519434679,0.20548249599661428,0.0,1.0
13235,0.30881087990114886,-0.4161717180227659,0.0,0.0
13160,0.6729781130464577,0.356078829768123,0.0,0.0
7121,-1.266853794849209,-0.7305240124206946,1.0,1.0
5053,-0.707461459873939,-0.2937332314765793,1.0,1.0
24182,1.0163001483259786,-0.0838076539719212,0.0,0.0
4122,-0.7386408573582733,0.3088661658106097,1.0,1.0
25019,0.10754810969442592,0.3318891320805353,0.0,0.0
8983,-1.5295905900109394,-0.14919962647427656,1.0,1.0
18359,1.4106998706198355,-0.6753669512489596,0.0,0.0
3782,-1.2025119411655218,-0.302221976712721,1.0,1.0
21144,0.23724479695903067,0.7474729271871207,0.0,0.0
2507,-1.7662195003253702,0.2793871792541481,1.0,1.0
10376,0.021878908531855392,-0.7675331108858916,1.0,1.0
11059,-0.3053019052737765,-0.03169143734658813,1.0,1.0
16996,0.22636151552663683,0.5505232950266928,0.0,0.0
10491,-0.32845088569563435,0.12700086655541273,1.0,1.0
4088,-0.4368120754990156,-0.08908702630160899,1.0,1.0
8429,2.1246741143962344,-0.07783572542499913,1.0,0.0
13736,-0.807430141133681,0.40077112582776486,0.0,1.0
18829,-1.3561064211578335,-0.3473226230413666,0.0,1.0
24171,-0.23621446366993434,-0.1994900189201573,0.0,1.0
18514,1.1777634823703615,0.17757411653672006,0.0,0.0
2032,-0.042841970009687355,0.026049942969152477,1.0,1.0
8476,0.07638191631288317,0.6302744881497925,1.0,0.0
4747,-0.20983950803626372,0.033082685946190245,1.0,1.0
21028,1.3408143005659299,-0.2307015856235277,0.0,0.0
24519,1.4474128322664843,-0.1463796839637945,0.0,0.0
25122,1.8602773829129398,0.1747266287888389,0.0,0.0
17344,0.10477785700227978,-0.402220156150479,0.0,1.0
21975,-1.0272394531158129,-0.2839274883778333,0.0,1.0
3322,0.567910375128954,0.09923036973451803,1.0,0.0
5036,0.5273848363943585,-0.12234126739883154,1.0,0.0
5955,0.17792127303633948,0.14394819891538194,1.0,0.0
6987,0.22939371039322867,0.35933308667388075,1.0,0.0
5198,0.2691870697596067,-0.33436632962020785,1.0,0.0
9464,-0.6624138426539191,-0.31976015957135484,1.0,1.0
17241,0.73481975704235,-0.2762478033280264,0.0,0.0
12536,-0.9485141673218138,-0.04123876336398324,1.0,1.0
19480,0.12403841141363388,-0.1887904762544005,0.0,0.0
7787,-0.07208892239660289,-0.4100266709347909,1.0,1.0
3994,0.86895660898496,0.7616420012234166,1.0,0.0
24035,1.5989441554934454,0.04315978600126896,0.0,0.0
3640,-0.7025822611591664,0.5520561225231412,1.0,1.0
20173,1.161092543225093,0.5090486044315297,0.0,0.0
10713,-1.1664927273798458,-0.09901496958800725,1.0,1.0
20050,1.1252415944442355,0.1877058722184991,0.0,0.0
24566,0.35632412351145487,0.8162754665128973,0.0,0.0
22793,1.4408265227856003,-0.2446497317755062,0.0,0.0
17545,-0.07629490934477096,0.4828957212708602,0.0,0.0
15474,0.28687627218829276,-0.013924298548602995,0.0,0.0
20246,1.1808855331895072,0.16874396205307526,0.0,0.0
5931,0.07926131043035059,0.068786758447706,1.0,0.0
16306,0.4870073915299361,-0.4146628207778826,0.0,0.0
23927,1.1587105541021663,0.38511823028215675,0.0,0.0
1495,-0.4022651002772489,-0.5092437154317808,1.0,1.0
22385,-1.2259407003419192,-0.7786293537320959,0.0,1.0
5506,0.23985053467174575,0.2167215332719368,1.0,0.0
18596,-1.0378960355540683,0.101506051456827,0.0,1.0
970,-1.3510012961966742,-0.09169768280634974,1.0,1.0
24017,0.8250643004093698,0.34273723838312686,0.0,0.0
3579,-0.47190160923078595,-0.3639174526217567,1.0,1.0
7824,-1.5168711814900209,0.33814686081094963,1.0,1.0
18010,0.679281384938708,-0.7394283776863698,0.0,0.0
20480,1.5893344985093454,-0.131990436197045,0.0,0.0
19245,1.5539508866778537,0.1430272246589679,0.0,0.0
510,0.3593279831100916,0.9281041971053733,1.0,0.0
18547,0.49839281693195825,0.13920909338110032,0.0,0.0
19995,-0.6676890033446176,0.49123830261604007,0.0,1.0
19153,0.24581577510562913,-0.2878732620114724,0.0,0.0
3880,-2.223865561299829,-0.5496057492401419,1.0,1.0
3230,-1.0591325966547107,0.21061906895556987,1.0,1.0
563,0.14543448129978867,-0.09180181942775605,1.0,0.0
6190,0.1743400350482979,-0.39256847035646075,1.0,1.0
25263,0.34839252686918304,0.20199063253661062,0.0,0.0
20369,-0.0011584961742993295,-0.4409712200117046,0.0,1.0
8277,0.5947265024547713,-0.007670600831416686,1.0,0.0
13131,-0.21662070845029965,0.20350786578743904,0.0,1.0
6682,-0.7774279872869533,-0.046084058822336633,1.0,1.0
19305,0.2469260318499824,-0.7051493624055332,0.0,1.0
19231,0.7780476627724808,-0.10783369598224786,0.0,0.0
20923,0.5263661819662335,0.2993513293506514,0.0,0.0
1749,-0.27467065689288966,0.672939350533029,1.0,0.0
1662,-1.78305497307988,-0.5218494815434525,1.0,1.0
3004,0.04187215754939497,0.2875872549569966,1.0,0.0
23185,-0.052405482032713606,0.1347988731721493,0.0,0.0
25589,1.799210980416004,-0.302205209257036,0.0,0.0
6227,-0.9262884835305175,0.18277171872314474,1.0,1.0
1362,0.05995691404830715,-0.45137677115095065,1.0,1.0
16249,0.9353964165863994,0.44764367459953003,0.0,0.0
20998,0.4035610488601629,0.27784417936032174,0.0,0.0
17713,1.9513954861224618,0.028555578889154123,0.0,0.0
23822,0.8750221946322567,0.43021551841885364,0.0,0.0
23748,0.4456751058185541,-0.21154828412536278,0.0,0.0
2124,-1.9673070929761565,0.5733661504800054,1.0,1.0
6868,0.5480464978315247,0.7703439211091722,1.0,0.0
4948,0.749510547962675,-0.35225793962665364,1.0,0.0
13571,0.3576736301762309,-0.16886334524162966,0.0,0.0
13096,0.29132488196863643,-0.6152015401279151,0.0,1.0
5663,-0.9014408310802872,0.8667484650596443,1.0,1.0
10556,1.4536421226887912,-0.39412250186808234,1.0,0.0
23133,1.2734149980382548,-0.037386965805592975,0.0,0.0
12090,-0.8284198747229425,0.7332438483574697,1.0,1.0
21599,1.757617104337749,-0.22547479888003322,0.0,0.0
8285,-0.16972497509450768,0.6989977100385046,1.0,0.0
19321,0.17169194636362897,0.7407382737745236,0.0,0.0
18388,-1.3256113304148311,0.308587708868457,0.0,1.0
6282,0.5063308113865215,-0.07955141831616942,1.0,0.0
6914,0.532681474101616,0.02812124067375118,1.0,0.0
4792,-0.07273818600533234,0.24610649438093496,1.0,0.0
15355,-0.5739050444601426,-0.0679232331525336,0.0,1.0
10395,0.2003657508817671,0.35643941927084327,1.0,0.0
9270,-0.2174055732951654,-0.14694619998584316,1.0,1.0
14259,0.20472578122776622,0.2979327421782177,0.0,0.0
9253,-2.435720967115199,-0.10777687992255136,1.0,1.0
6674,0.7577202391008669,-0.01719881265488291,1.0,0.0
11340,-0.03269884792860659,0.03565356848704755,1.0,1.0
9695,0.2777183902335066,0.5537656359522064,1.0,0.0
21149,0.09601470646968262,0.032493302800907516,0.0,0.0
14282,1.3419720061446716,0.058703029783376694,0.0,0.0
8385,-1.0842879043996825,-0.03779891395025884,1.0,1.0
19389,1.416538575052109,-0.49719532826386625,0.0,0.0
7935,-2.2781021478763748,-0.11503373492153854,1.0,1.0
21565,-0.3374934920040412,0.3594535870369631,0.0,1.0
25143,1.1826312927732907,-0.2476674052193739,0.0,0.0
11007,0.3494963536650343,-0.365121400053941,1.0,0.0
7487,-1.691046030004838,0.3653521214863635,1.0,1.0
18190,1.7990440517670079,0.44054518583630137,0.0,0.0
1883,-1.5090414182395118,-0.0677035183711377,1.0,1.0
6206,1.7368442122370213,0.22708135115176378,1.0,0.0
3474,-0.22849393849150745,0.08986187486656248,1.0,1.0
8861,-0.6906972167555232,-0.3544088300884431,1.0,1.0
15743,-0.020651523204408283,0.3075894701991443,0.0,0.0
23335,1.3975747200182098,0.39734694617802374,0.0,0.0
1599,0.1143649162004113,-0.31400038925370294,1.0,1.0
10110,-0.6342316328759785,-0.08817618098849218,1.0,1.0
11643,-0.5958801698584182,0.05969284283550614,1.0,1.0
25559,0.8632712584884789,-0.16189691248880256,0.0,0.0
6068,-2.129939456134724,-0.1380141284602861,1.0,1.0
8341,-0.908641112659762,-0.6397832393232128,1.0,1.0
8414,-0.8870321660876953,-0.23785063365416198,1.0,1.0
24524,1.4382253312363757,-0.17325515263436883,0.0,0.0
12340,0.8226142926054242,0.36405157234655816,1.0,0.0
8867,0.6808929539566253,-0.5590232612809458,1.0,0.0
15227,-0.8795701523548523,0.3895915699199449,0.0,1.0
4556,0.9717847101420183,0.8371091313697525,1.0,0.0
3351,-0.15787690960417097,0.5980102029552797,1.0,0.0
17618,1.4219805790347517,-0.2857902049275635,0.0,0.0
7124,0.1136587080323479,0.23809910840940823,1.0,0.0
11468,0.20146193588092595,-0.5197417409064,1.0,1.0
6445,0.14281351131381106,-0.11670237065391334,1.0,0.0
15800,0.8999258422495469,-0.031953223772218584,0.0,0.0
2051,-2.536946349484075,0.5207017449835278,1.0,1.0
25489,0.07270610574966327,-0.11984952584625458,0.0,0.0
324,0.7497755145596033,0.40395838719875204,1.0,0.0
15276,0.7956415522385835,0.5087858812265484,0.0,0.0
21804,-0.06003398904172842,0.0754560865782934,0.0,1.0
8333,-0.4370259623040465,0.042879334586802494,1.0,1.0
11035,-0.5689170262885235,0.23804688082329262,1.0,1.0
8684,-1.4239822424901327,0.10323271581491263,1.0,1.0
13067,-0.11518280437106074,0.19090455885383598,0.0,1.0
17688,-0.6441514900415866,-0.6592950714958533,0.0,1.0
25002,-0.4376535585932832,0.688349611844215,0.0,1.0
1027,1.250314444146909,-0.24922791068791772,1.0,0.0
23986,0.9622039410546454,0.2418125063949582,0.0,0.0
12598,-1.3074791686785596,-0.2569764470186245,1.0,1.0
2097,-0.0347248525347051,-0.19394479444228105,1.0,1.0
25306,2.402492047775329,0.24801973215818438,0.0,0.0
7371,-0.6022633972933543,0.36387478465872525,1.0,1.0
5071,-0.30692850156911183,-0.11660493309906911,1.0,1.0
13115,0.6120740196070567,0.48555383722928586,0.0,0.0
20030,0.39265356370155474,-0.12468694066041522,0.0,0.0
9370,0.028119421468816474,-0.224040747492833,1.0,1.0
1251,0.8523949589587895,-0.09202762641077915,1.0,0.0
14139,1.8695665418323737,0.29787880078588924,0.0,0.0
2641,-0.027192855027544822,0.18430463208618794,1.0,0.0
5226,-0.3021454475109333,0.7182652118315116,1.0,0.0
11689,-1.4637314158836359,0.7135711862089841,1.0,1.0
7259,0.6536522302446083,-0.6356020233924002,1.0,0.0
8374,1.3723707186765797,0.3218245904712683,1.0,0.0
7361,-0.5756176367503155,0.29311896734841003,1.0,1.0
21631,0.9672371333726991,-0.01957927843865765,0.0,0.0
2028,-1.0268556603935857,-0.3140628072562308,1.0,1.0
20589,-0.08172865578433934,-0.46964666565560836,0.0,1.0
22417,-1.5006788223099456,-0.2624097713485687,0.0,1.0
19908,-0.17456614438925366,-0.14791096852849042,0.0,1.0
18133,-1.3246131727788564,-0.019707933331003537,0.0,1.0
13929,0.7093528222752811,0.4721978768242293,0.0,0.0
15000,0.18828568436928683,-0.4364301105272359,0.0,1.0
1339,-0.15050242837257777,0.5182146986497754,1.0,0.0
88,0.7898892844912097,-0.6428879655557477,1.0,0.0
10329,-0.836438125343975,-0.4156449896912679,1.0,1.0
24770,0.7227780511711259,-0.09936786262895163,0.0,0.0
10719,-2.2571996585215564,0.8277737302609033,1.0,1.0
14717,0.2664089367466856,0.6108505133905174,0.0,0.0
20648,2.1458804469456676,0.6518647416243217,0.0,0.0
22133,1.1329399652660501,-0.27663165597804606,0.0,0.0
10477,0.514113417627855,-0.7101870608356681,1.0,0.0
24563,0.29871553358267877,-0.29981579105108935,0.0,0.0
19940,0.31567158490909836,0.5346984911006348,0.0,0.0
11369,-0.513669082934088,0.5246134768631158,1.0,1.0
25290,0.05911646469791619,0.23083013018515752,0.0,0.0
7898,-0.9239405614814117,-0.09317389705582882,1.0,1.0
10590,-0.37838021220432794,0.07363923374385602,1.0,1.0
20087,0.8724660707494621,0.3319596703432451,0.0,0.0
9012,-1.9472293403138812,-0.017184983938256432,1.0,1.0
20038,-0.33771952368152314,0.09761650388341342,0.0,1.0
12506,-0.3671689847861324,-0.4186645164854391,1.0,1.0
17058,0.39900259899642787,-0.7486054981898315,0.0,0.0
17123,1.7673473988219337,-0.08845320721807713,0.0,0.0
20672,0.26022358195847445,-0.794160791821912,0.0,1.0
15251,0.44750725034640026,0.18067724708657887,0.0,0.0
14929,0.03984793724655478,-0.13298778551113502,0.0,1.0
1633,-0.02193527760689221,-0.8580376503511794,1.0,1.0
5256,-1.1524373181694643,-0.1755959182884701,1.0,1.0
527,-1.159963908909491,-0.33186311287397574,1.0,1.0
17027,-1.0661406448242823,0.01939718331639382,0.0,1.0
10454,-0.6805481823140528,0.34758047959470945,1.0,1.0
14428,-0.1195128630193649,0.31825445868883107,0.0,0.0
17365,0.6089061546575282,0.12586874143117346,0.0,0.0
18981,0.7254455441732963,0.1840374933434484,0.0,0.0
21329,-0.23722486749046462,-0.14319987304888976,0.0,1.0
10471,-0.9912246086520871,-0.2885983976481992,1.0,1.0
9799,-0.2281607021070548,-0.24010409353529338,1.0,1.0
14133,0.1805878365123535,0.15457309508235645,0.0,0.0
18032,-0.07350893495409704,-0.1884514952595184,0.0,1.0
20708,0.42313807294287,-0.05626133557389457,0.0,0.0
5760,-0.37302674830214827,-0.08727078976751582,1.0,1.0
11605,-1.766707448077607,-0.03858556513667881,1.0,1.0
9961,-0.5889987051789068,0.42462313781906397,1.0,1.0
4754,0.4616429822672602,-0.30434492376568695,1.0,0.0
2465,0.13816399570711052,0.07847664002837376,1.0,0.0
308,-0.1941960593546468,0.15559965985745908,1.0,1.0
6584,0.00927433510979104,-0.47143647823523455,1.0,1.0
14671,1.4303849179932904,-0.5337508084805331,0.0,0.0
14960,0.8369030217530475,0.12378361874567582,0.0,0.0
