,0,1,tss,new_tss
5393,-0.4612692609528285,-0.018434836896965272,1.0,1.0
25175,0.3459815306782221,-0.19356724142873943,0.0,0.0
19543,-0.7966305115154216,0.48112226485447723,0.0,1.0
15845,1.6053112561588667,0.23568132482870488,0.0,0.0
17207,2.0881079366279356,-0.05430749206230735,0.0,0.0
19137,0.13191883054543316,-0.11862317246950009,0.0,0.0
20359,0.5089588858727359,-0.8852041694915427,0.0,0.0
12160,-0.6381751739554641,-0.13989114884130024,1.0,1.0
19457,1.5628878288768573,-0.21897962733076543,0.0,0.0
5014,-0.06483238123158151,-0.28770838498180396,1.0,1.0
10769,-0.716953593406011,0.13649788044263308,1.0,1.0
2908,-0.9102111864745894,0.5127543917411775,1.0,1.0
2919,-0.4874699466185118,-0.03151364754874688,1.0,1.0
17463,0.6540068758679641,0.4286961551979989,0.0,0.0
14424,0.6313821329481252,-0.5961716242676984,0.0,0.0
2617,-0.5181673330816033,0.6311352463649159,1.0,1.0
10130,-0.5898939071176706,-0.20189966004150103,1.0,1.0
4907,-0.32045835428193975,-0.2735322641697335,1.0,1.0
10789,-1.0131686868959229,0.4515117247901709,1.0,1.0
20113,0.20487245012496944,0.09664268456461433,0.0,0.0
5283,-0.6196093668050656,-0.06917364470731323,1.0,1.0
18389,-0.04199058931925254,0.3128211368038994,0.0,0.0
13047,1.278894781692241,0.2659639798563193,0.0,0.0
4649,-0.9907080925219043,0.8950412237886842,1.0,1.0
14875,0.6621357283259836,0.04127609110278634,0.0,0.0
231,-0.042989428506755835,-0.6353205631302186,1.0,1.0
2214,-1.6612621087215076,-0.09588720426851616,1.0,1.0
7115,-0.6036841225892519,-0.003917030652367292,1.0,1.0
15799,-0.7669146242685672,-0.3643880619066243,0.0,1.0
19897,2.10200001987131,-0.381855697880392,0.0,0.0
9211,-0.6349732519335222,0.3628571720491577,1.0,1.0
20216,0.6795711078735844,0.30510642721549924,0.0,0.0
7878,0.8263600981680791,0.2210196650575389,1.0,0.0
6402,-1.0905212313662984,-0.5475498260312233,1.0,1.0
21686,-0.26950567761631544,0.35562825243351837,0.0,1.0
17306,0.2830742912310647,0.11910158773247036,0.0,0.0
1289,-0.3134956799279311,0.48720769934962965,1.0,1.0
21251,0.7472741246733546,-0.003750175927214687,0.0,0.0
24257,-0.8369279750227133,0.6839904888015327,0.0,1.0
22626,-0.4301890587924062,0.09817419957880642,0.0,1.0
25365,-0.050690993309227134,-0.11169060641349843,0.0,1.0
11783,0.7558856217381014,0.09059893778062501,1.0,0.0
2560,-0.26305580963529923,0.30195515147528096,1.0,1.0
15906,0.22752830569674995,0.6385085589782458,0.0,0.0
15897,1.4647514506170423,0.13870614405334414,0.0,0.0
10350,-0.08852811415875796,0.16206598832020472,1.0,1.0
12992,0.5422851400907821,0.055421949423829185,0.0,0.0
19271,-0.6457566112511631,-0.022510367698414264,0.0,1.0
10972,-1.930135674338486,-0.34833374987997845,1.0,1.0
3745,1.4576203114323416,0.1285794466704684,1.0,0.0
23522,1.7046938754643783,-0.01629831188771459,0.0,0.0
15924,1.8263319350206013,0.12404897756187296,0.0,0.0
13410,0.7637484432353889,0.43919783109165134,0.0,0.0
13973,-0.16250766454780124,0.04973445267510877,0.0,1.0
13202,-1.3959780770643317,-0.21991964247110846,0.0,1.0
8275,-1.5790677034170448,0.4607240451484432,1.0,1.0
22340,-1.0713854874659026,0.06640129224003702,0.0,1.0
9949,1.3870263867944426,-0.18965106803702442,1.0,0.0
16695,-1.5035466841427079,0.15912692615127969,0.0,1.0
14949,0.2534275762238873,-0.47765141459306365,0.0,0.0
8838,-0.9447174314944579,0.006682491760056691,1.0,1.0
23815,-0.27505110183398745,-0.2953131221465803,0.0,1.0
3456,-0.069248626572512,0.26181507254928704,1.0,0.0
4970,0.08399053620267086,-0.47548891225521783,1.0,1.0
15974,-0.4508165213067401,-0.05527646862751589,0.0,1.0
3069,0.9295273422764072,-0.21893457205997446,1.0,0.0
20816,0.3297002943490127,0.7915646115508553,0.0,0.0
25516,0.13065742818946785,-0.6261138040470138,0.0,1.0
3128,-0.5971510023938079,-0.05967031589918881,1.0,1.0
2328,-2.257596757007067,-0.003130577590947901,1.0,1.0
23804,0.47903900369716956,-0.11725362347718665,0.0,0.0
9611,-2.050629100268844,-0.1620112662592729,1.0,1.0
18457,0.010318688774182943,0.6237434216005219,0.0,0.0
15995,-2.0396002934171618,-0.3249316414261665,0.0,1.0
25452,-0.6759547425965319,0.33519245186845226,0.0,1.0
4577,-0.33013709214689535,-0.3656975329415031,1.0,1.0
13751,0.00018689435175575249,0.3477621538218746,0.0,0.0
24056,0.3380466888573859,-0.48991104596909074,0.0,0.0
12952,1.0999882189703447,0.25940582693665165,0.0,0.0
21608,0.8078850322047048,0.07034896459993023,0.0,0.0
8935,-1.4645651147566316,-0.06628607016806376,1.0,1.0
6189,-2.1511733420857015,0.08188643318994698,1.0,1.0
17232,-1.038631949746107,-0.30747409421257804,0.0,1.0
18021,0.08827355830323923,0.28244121299424524,0.0,0.0
188,-0.8078430714229651,-0.27009981719127346,1.0,1.0
19733,-0.6905848661213555,-0.22133762226791787,0.0,1.0
23200,-0.5711613331255493,0.4782885399263913,0.0,1.0
18520,0.8895353831579635,-0.3248360477603354,0.0,0.0
13565,0.283698449757095,-0.12788994150649396,0.0,0.0
23103,-0.452465109266838,0.09327718568834245,0.0,1.0
5549,-0.8969839414780564,-0.2661946216843802,1.0,1.0
3561,-1.6003980560311268,0.07293631095436451,1.0,1.0
21273,0.9975034995457149,0.2172359453276606,0.0,0.0
5118,0.19234339431714173,-0.12576734447454282,1.0,0.0
23782,-0.6303029218159442,0.3721739657094108,0.0,1.0
1520,-0.3411821084282609,0.040659042448719734,1.0,1.0
13286,-0.897154085757102,-0.12005757154615118,0.0,1.0
7146,-1.969019411311196,0.09663555527429869,1.0,1.0
17854,1.7028872155637569,-0.20522843955319484,0.0,0.0
18995,0.4335441587567625,-0.5933438870430445,0.0,0.0
5104,-0.24652831420694818,-0.0771714438971815,1.0,1.0
