,0,1,tss,new_tss
5393,0.6782556671068196,-0.6070994561755966,1.0,1.0
25175,-0.2661750290940292,-0.8400324539772879,0.0,1.0
19543,-0.9114741427875822,-0.25407769918697043,0.0,0.0
15845,-0.6165468373857084,-0.0804024912151201,0.0,0.0
17207,-0.5907130210576019,-0.4194378006124576,0.0,0.0
19137,1.0895335204069743,-0.5620325460406775,0.0,1.0
20359,-0.09598561348085306,0.6436095464438414,0.0,0.0
12160,-0.46869996162992583,-0.36404044064829416,1.0,0.0
19457,0.06403952171780115,-0.04284199936820472,0.0,1.0
5014,1.3092602910495665,-0.4929626094836469,1.0,1.0
10769,0.5774713470424828,-0.23661800312681736,1.0,1.0
2908,2.814373378233159,0.22665472263686026,1.0,1.0
2919,1.1758085210760576,-0.0723064310292155,1.0,1.0
17463,0.30897693293287837,0.268745534639064,0.0,0.0
14424,-0.0718582008146745,-0.003340649318014117,0.0,0.0
2617,0.029566046245515912,-0.3191223581891333,1.0,1.0
10130,1.2925504547664095,0.2949569960975887,1.0,1.0
4907,0.09355003984398871,-0.28792074563341535,1.0,1.0
10789,-0.5882699903239242,-0.009074489822177425,1.0,0.0
20113,0.7675563203487714,-0.23460547293433226,0.0,1.0
5283,0.9405541673852988,-0.05255493173612713,1.0,1.0
18389,0.6372252728698479,0.5238987318801344,0.0,1.0
13047,0.7655849646377969,-0.07270872064390002,0.0,1.0
4649,-0.1807045210859283,-0.021722435030797137,1.0,0.0
14875,0.5518361820313358,1.304066818402785,0.0,0.0
231,0.9866012870908598,0.5497575465319049,1.0,1.0
2214,1.190864216157574,-0.08418811553686234,1.0,1.0
7115,0.42137740501609877,-0.43038520325046176,1.0,1.0
15799,-1.436123486317596,0.2339987754677493,0.0,0.0
19897,-2.1363914908878345,-0.5352626273389238,0.0,0.0
9211,0.7029524692894408,-0.7349404378251787,1.0,1.0
20216,-1.2956756805244685,-0.44876649941516256,0.0,0.0
7878,-1.0515875996170252,-0.5230528440717417,1.0,0.0
6402,-0.01618011663384422,-0.44581513665847516,1.0,1.0
21686,-0.8674762546642403,-0.4525606500982455,0.0,0.0
17306,-1.4941958171934433,0.1285237522538116,0.0,0.0
1289,1.0550820206265212,-0.03523422770172297,1.0,1.0
21251,0.6012487178143986,-0.16545149567034723,0.0,1.0
24257,0.4878957098851525,0.4985376934629935,0.0,0.0
22626,-0.13188715000518056,0.2703707183379018,0.0,0.0
25365,-0.06976482247056687,-0.1976530672935704,0.0,1.0
11783,-0.595071227871075,0.06314123632514236,1.0,0.0
2560,1.4758456332519634,-0.30775711110521514,1.0,1.0
15906,-0.8375950276752232,0.363869640584053,0.0,0.0
15897,0.1371124279430921,-0.23522697591300104,0.0,1.0
10350,1.3395582856591928,0.2446378163652217,1.0,1.0
12992,1.0094906807159287,-0.4005811587485113,0.0,1.0
19271,-0.20882972787748286,-0.7286588931748419,0.0,1.0
10972,0.9482798432555423,-0.1537156092502883,1.0,1.0
3745,0.14694514184019714,0.3579249908246178,1.0,0.0
23522,-0.5993212648593983,0.324622487943897,0.0,0.0
15924,-1.3340611559539524,-0.22925052046120134,0.0,0.0
13410,-0.49727969574482755,0.8275059472593047,0.0,0.0
13973,0.14282571724006185,-0.11475026315865669,0.0,1.0
13202,0.38150326904494936,0.633766475480438,0.0,0.0
8275,0.15153910994628916,-0.22565395304252958,1.0,1.0
22340,0.7304247580937224,-0.07108237833766264,0.0,1.0
9949,-0.7350700327674535,0.1655823773282441,1.0,0.0
16695,0.9325800922891329,0.19147046452046873,0.0,1.0
14949,-0.7565974547288614,0.11689884338676929,0.0,0.0
8838,1.0242790782897553,0.20521073229715123,1.0,1.0
23815,-0.12589345280750242,0.16739829435971484,0.0,0.0
3456,0.03338008188731802,-0.7993838846411004,1.0,1.0
4970,-0.0033451856773436066,0.2924274452538137,1.0,0.0
15974,-1.0576037012338497,-0.18978781239563883,0.0,0.0
3069,0.47560988770118756,-0.43561633639401853,1.0,1.0
20816,0.10941003980560057,0.025825154083728787,0.0,1.0
25516,-0.17541959869602275,-0.08201950726114973,0.0,0.0
3128,0.1543998743830927,0.16456154716585683,1.0,0.0
2328,-0.026339245264292797,0.06763642939644919,1.0,0.0
23804,0.10461921979661745,0.3659642499583143,0.0,0.0
9611,1.7051601534613134,-0.4939488378666828,1.0,1.0
18457,-0.5585788833360685,0.15958996833057593,0.0,0.0
15995,-0.2913884353410345,-0.18873389731680484,0.0,0.0
25452,0.1443985231776631,-0.2502259015777958,0.0,1.0
4577,0.5334477048033828,-0.07146627773017132,1.0,1.0
13751,-2.1592912636514,0.10549687918221247,0.0,0.0
24056,0.00518224115815135,0.16397877433185518,0.0,0.0
12952,1.885454343828878,-0.14874719342817774,0.0,1.0
21608,-0.4280192197011062,0.3121619583311686,0.0,0.0
8935,0.6368886054363553,0.03227467567445708,1.0,1.0
6189,-0.34908794407937305,-0.2715971091902196,1.0,0.0
17232,0.11516363315710003,0.4837947301161274,0.0,0.0
18021,-0.429202560243498,0.39060428245088,0.0,0.0
188,1.0723490732717536,0.05671172751129719,1.0,1.0
19733,-0.8238184923950496,0.5988208396664829,0.0,0.0
23200,0.7077425969549813,0.5575847841281623,0.0,1.0
18520,0.18056848389569075,-0.1688972128575002,0.0,1.0
13565,1.1169231742183026,0.018235209608484994,0.0,1.0
23103,0.3438403573681003,0.0314009528106096,0.0,1.0
5549,-0.8353574542165121,-0.2441341031782496,1.0,0.0
3561,1.9624741719934538,-0.44764600500346435,1.0,1.0
21273,-1.284594876561564,0.22640792765791642,0.0,0.0
5118,0.6429667950022099,-0.1064284776756337,1.0,1.0
23782,-0.04962812886057566,0.28282195069944605,0.0,0.0
1520,1.3822749475775906,-0.21311143783669856,1.0,1.0
13286,0.41147291840663625,-0.11360368321622509,0.0,1.0
7146,0.24015794633107543,-0.4928840861276977,1.0,1.0
17854,-4.485419408787319e-05,-0.14483952797717567,0.0,1.0
18995,0.35292374057564885,0.03243816274127985,0.0,1.0
5104,0.36812313956660425,0.0022748099365029026,1.0,1.0
16506,-0.6236091338938008,1.2813953567793093,0.0,0.0
24775,-0.43132840116208376,0.2562368715264246,0.0,0.0
22403,-1.040542167031677,0.26623615071934564,0.0,0.0
18970,-0.23446597743716896,-0.17992580734885788,0.0,0.0
