,0,1,tss,new_tss
5393,0.7100286250140319,0.3301231694092157,1.0,1.0
25175,0.03314980931330263,0.47036732446385726,0.0,1.0
19543,0.8513093512366686,-0.3195372605871106,0.0,1.0
15845,-0.8194652876716282,0.49662203173167085,0.0,0.0
17207,-2.0756586748717925,0.029897619722217876,0.0,0.0
19137,0.030242490328400498,0.08346799469473587,0.0,1.0
20359,-1.3868318094402432,-0.17175004786499226,0.0,0.0
12160,2.738164133055296,0.20152519557756715,1.0,1.0
19457,-0.14587201582896936,-0.03637634693195909,0.0,0.0
5014,0.8379177141453674,0.5716054701730277,1.0,1.0
10769,1.4224114357980955,-0.650560396498885,1.0,1.0
2908,0.564339883220836,-0.14066867837672645,1.0,1.0
2919,0.16451023769611173,0.2687769218119571,1.0,1.0
17463,0.8728793735068963,-0.28755963055908157,0.0,1.0
14424,0.012350714485545,-0.3174911201680206,0.0,0.0
2617,1.219196400150286,-0.22163393398060677,1.0,1.0
10130,0.9863874813106409,0.445766462193386,1.0,1.0
4907,-0.2717022201565518,-0.4615449986483812,1.0,0.0
10789,0.7887282490157326,0.2800399363308913,1.0,1.0
20113,-0.97125909450917,0.3370589271150406,0.0,0.0
5283,0.9254059155006251,-0.19541740300313168,1.0,1.0
18389,-0.2486470480722152,-0.5287594419127118,0.0,0.0
13047,-1.310430983986578,0.06422725925322635,0.0,0.0
4649,1.1031965994668866,-0.008672937043584805,1.0,1.0
14875,-0.18937928008167168,-0.9767818871186571,0.0,0.0
231,1.5898040294610272,0.1325576322348729,1.0,1.0
2214,-0.5725317597421676,-0.20676409597533965,1.0,0.0
7115,-0.8838576276758846,0.3359569324621549,1.0,0.0
15799,0.020026602901828738,0.3129702364154159,0.0,1.0
19897,-1.3971485587376042,0.6310343066966394,0.0,0.0
9211,0.8969325040286582,0.5862467367542556,1.0,1.0
20216,-0.8052637410784355,-0.23453588536588751,0.0,0.0
7878,-1.2381825427065958,0.5728092814404886,1.0,0.0
6402,0.07096924411454798,0.1952051080403935,1.0,1.0
21686,-2.12710751629466,0.08093494277535904,0.0,0.0
17306,-1.5059773501961655,0.1624173152867391,0.0,0.0
1289,1.0547453703112724,-0.2781986461852411,1.0,1.0
21251,-1.2791200380972214,0.48103931815247897,0.0,0.0
24257,0.9166001043056268,-0.18601545833695937,0.0,1.0
22626,0.560231986446998,0.13835876831175,0.0,1.0
25365,-0.4209563132515757,-0.5438443648240439,0.0,0.0
11783,-0.5822738819118397,-0.5499189384452126,1.0,0.0
2560,1.1793069885373306,-0.120857561535314,1.0,1.0
15906,-0.6874785481101682,-0.4003972978145912,0.0,0.0
15897,-1.2048415200897182,0.2675441050455799,0.0,0.0
10350,-0.3571761615776196,-0.32728838269496796,1.0,0.0
12992,-1.6038197276801018,-0.06874697974181482,0.0,0.0
19271,0.22622415006303925,0.5352188942979292,0.0,1.0
10972,0.983261115447622,0.8445909456809013,1.0,1.0
3745,-0.7870922167504555,-0.03519367304145574,1.0,0.0
23522,0.04094064692731447,-0.9624139814509252,0.0,0.0
15924,-1.1137127454456983,-0.17289673381855275,0.0,0.0
13410,-0.5598027020048816,0.22045319128820304,0.0,0.0
